DRXMC,DRXMCD
200375,"Corn, yellow, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200380,"Egg, whole, baked, fat added in cooking W/ BUTTER, NFS"
200385,"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ WHOLE MILK"
200389,"Peas, green, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
200394,"Asparagus, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200395,"Pudding, flavors other than chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ SKIM MILK"
200397,"Beans, string, green, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200404,"Instant breakfast, powder, milk added W/ WHOLE MILK"
200421,"Vegetable combinations, Oriental style, (broccoli, green pepper, chinese cabbage, water chestnuts, etc), cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200428,"Broccoli, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200429,"Beans, lima, immature, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200437,"Egg omelet or scrambled egg, with potatoes and/or onions (Tortilla Espanola, traditional style Spanish omelet) W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200439,"Broccoli, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200441,"Cauliflower, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200449,"Tuna salad W/ REDUCED CALORIE OR DIET, CHOLESTEROL-FREE MAYONNAISE (INCLUDE KRAFT LIGHT; HELLMANN'S CHOLESTEROL-FREE REDUCED CALORIE...)"
200453,"Turnip greens, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"
200470,"Brown rice, cooked, regular, fat added in cooking W/ BUTTER, NFS"
200475,"Cabbage, red, cooked, fat added in cooking W/ BUTTER, NFS"
200483,"Carrots, raw, salad with apples W/ LOW CALORIE OR DIET MAYONNAISE"
200494,"Beans, string, green, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200497,"Scallops, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200498,"Shrimp, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200504,"Pudding, chocolate, prepared from dry mix, milk added W/ 2% MILK"
200521,"Carrots, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
200524,"Beans, lima, immature, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200542,"Squash, summer, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200577,Potato salad with egg W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT...)
200579,"Poke greens, cooked, fat added in cooking W/ VEGETABLE SHORTENING"
200581,"Brown rice, cooked, regular, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200583,"Pudding, coconut W/ WHOLE MILK"
200605,"Pudding, chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ 2% MILK"
200617,"Corn, cooked, NS as to form, NS as to color, fat added in cooking W/ BUTTER, NFS"
200629,"Cauliflower, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200632,"Egg omelet or scrambled egg, with cheese W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200665,"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ SKIM MILK"
200675,"Cabbage, green, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200677,"Hominy, cooked, fat added in cooking W/ BUTTER, NFS"
200685,"Tuna salad W/ LOW CALORIE OR DIET MAYONNAISE (INCLUDE LOWFAT MAYONNAISE, WEIGHT WATCHERS LIGHT MAYONNAISE, HELLMAN'S LIGHT MAYONNAISE)"
200686,Pea salad with cheese W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
200690,"Carrots, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200691,"Lima beans, dry, cooked, fat added in cooking W/ VEGETABLE SHORTENING"
200693,"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ VEGETABLE SHORTENING"
200694,"Beans, lima, immature, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
200695,"Vegetable combinations (broccoli, carrots, corn, cauliflower, etc.), cooked, fat added in cooking W/ BUTTER, NFS"
200698,"Beans, string, green, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200711,"Egg omelet or scrambled egg, with cheese and ham or bacon W/ BUTTER, NFS"
200727,"Pudding, tapioca, made from dry mix, made with milk W/ SKIM MILK"
200732,"Egg omelet or scrambled egg, with cheese W/ BUTTER, NFS"
200744,Kidney bean salad W/ REAL MAYONNAISE
200748,Macaroni salad W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
200749,"Macaroni salad W/ CREAMY DRESSING, MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL (INCLUDE HIDDEN VALLEY RANCH; RANCH DRESSING, NFS....)"
200760,"Corn, cooked, from canned, NS as to color, fat added in cooking W/ BUTTER, NFS"
200771,Ham or pork salad W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP)
200781,"Cabbage, green, cooked, fat added in cooking W/ BUTTER, NFS"
200798,"Yellow rice, cooked, regular, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200813,"Squash, winter type, mashed, fat added in cooking, no sugar added in cooking W/ BUTTER, NFS"
200821,"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200824,"Corn, yellow, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
200858,"Peppers, hot, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200860,"Perch, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200861,"Macaroni, creamed W/ BUTTER, NFS"
200871,"Wheat, cream of, cooked, instant, fat not added in cooking W/ MILK"
200874,"Sea bass, baked or broiled W/ BUTTER, NFS"
200875,"Shrimp, baked or broiled W/ BUTTER, NFS"
200876,"Scallops, baked or broiled W/ BUTTER, NFS"
200885,"Okra, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200886,"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200927,"Eggplant, cooked, fat added in cooking W/ BUTTER, NFS"
200968,"Fish, NS as to type, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200982,"Beans, string, green, canned, low sodium, fat added in cooking W/ BUTTER, NFS"
200995,"Flounder, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201015,"Flavored rice mixture with cheese W/ BUTTER, NFS"
201029,"Corn, yellow, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201036,"Pudding, rice W/ WHOLE MILK"
201039,"Cod, baked or broiled W/O FAT"
201044,"Tomatoes, green, cooked, from fresh W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201060,Cucumber salad with creamy dressing W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING..)
201092,"Carrots, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
201099,"Herring, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201103,"Sweetpotato, candied W/O FAT"
201111,"Pudding, chocolate, prepared from dry mix, milk added W/ WHOLE MILK"
201115,"Corn, white, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
201118,"Pudding, chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ SKIM MILK"
201120,"Apple, fried W/ BUTTER, NFS"
201147,"Onions, mature, cooked or sauteed, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201148,"Squash, summer, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201154,Tuna salad with egg W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
201160,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, fat added in cooking W/ BUTTER, NFS"
201172,"Pike, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201174,"Squash, summer, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
201183,"Beans, string, cooked, from canned, NS as to color, fat added in cooking W/ BUTTER, NFS"
201187,"Red beans and rice W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201243,"Milk, malted, fortified, chocolate, made with milk W/ SKIM MILK"
201246,"Rice, white, cooked, regular, fat added in cooking W/ VEGETABLE SHORTENING"
201257,"Eggplant, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201259,"Beans, string, green, cooked, from canned, fat added in cooking W/ VEGETABLE SHORTENING"
201276,"Broccoli, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201279,Fruit salad (including citrus fruit) with cream W/ SOUR CREAM
201287,Macaroni or noodles with cheese W/O FAT
201294,"Red kidney beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"
201320,"Peppers, green, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201322,"Squash, summer, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
201330,"Shrimp, floured, breaded, or battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201333,"Mushrooms, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
201342,"Banana, ripe, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201359,"Cod, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201360,"Catfish, breaded or battered, baked W/ BUTTER, NFS"
201381,"Flounder, baked or broiled W/ BUTTER, NFS"
201398,"Pudding, tapioca, made from dry mix, made with milk W/ 2% MILK"
201410,"Cabbage salad or coleslaw with apples and/or raisins, with dressing W/ COLESLAW DRESSING"
201411,"Sweetpotato, boiled, without peel, fat added in cooking W/ BUTTER, NFS"
201429,"Yellow rice, cooked, regular, fat added in cooking W/ BUTTER, NFS"
201437,"Salmon, baked or broiled W/O FAT"
201441,"Croaker, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201485,Spanish rice W/O FAT
201503,"Coffee, latte W/ SKIM MILK"
201506,"Cabbage salad or coleslaw, with dressing W/ REDUCED CALORIE FRENCH DRESSING"
201516,"Squash, winter type, baked, fat and sugar added in cooking W/ BUTTER, NFS"
201521,Egg salad W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
201522,Egg salad W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP)
201523,"Brussels sprouts, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
201554,"Haddock, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201574,"Cod, breaded or battered, baked W/O FAT"
201575,"Sweetpotato, baked, peel not eaten, fat added in cooking W/ BUTTER, NFS"
201578,"Peas, green, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201579,"Rutabaga, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201583,"Cabbage salad or coleslaw, with dressing  W/ REDUCED CALORIE OR DIET, CHOLESTEROL FREE MAYONNAISE (INCLUDE KRAFT LIGHT; BEST FOODS CHOLESTEROL FREE REDUCED CALORIE..)"
201586,"Milk shake, homemade or fountain-type, flavors other than chocolate W/ 2% MILK"
201590,"Sweetpotato, casserole or mashed W/O FAT"
201594,"Flounder, battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201611,"Red kidney beans, dry, cooked, fat added in cooking W/ BUTTER, NFS"
201623,"Turnip, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
201625,"Lima beans, dry, cooked, fat added in cooking W/ BUTTER, NFS"
201627,Custard W/ WHOLE MILK
201630,"Peppers, red, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201653,"Fruit-flavored drink, made from unsweetened powdered mix (fortified with Vitamin C), with sugar added in preparation MADE W/ 1-1/2 TIMES THE AMOUNT OF SUGAR AS REQUIRED BY DIRECTIONS"
201662,"Catfish, battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201674,"Sea bass, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201702,"Vegetable combinations (broccoli, carrots, corn, cauliflower, etc.), cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201731,"Squash, summer, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
201746,"Instant breakfast, powder, milk added W/ SKIM MILK"
201747,"Haddock, baked or broiled W/ BUTTER, NFS"
201748,"Swordfish, baked or broiled W/ BUTTER, NFS"
201766,"Dip, sour cream base W/ FAT FREE SOUR CREAM"
201777,"Pudding, chocolate, prepared from dry mix, milk added W/ 1% MILK"
201830,Potato salad W/ SWEET AND SOUR DRESSING
201840,"Egg omelet or scrambled egg, with onions, peppers, tomatoes, and mushrooms W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201841,"Egg omelet or scrambled egg, with vegetables other than dark-green vegetables W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201845,"Corn, yellow, from canned, cream style, fat added in cooking W/ BUTTER, NFS"
201852,"Cabbage salad or coleslaw, with dressing W/ LOW CALORIE OR DIET MAYONNAISE"
201857,"Okra, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
201871,"Pudding, tapioca, made from home recipe, made with milk W/ 2% MILK"
201880,"Stewed pink beans with viandas, ham, Puerto Rican style W/O FAT"
201895,"Whiting, baked or broiled W/O FAT"
201913,"Beans, string, cooked, NS as to form, NS as to color, fat added in cooking W/ BUTTER, NFS"
201914,"Milk, malted, fortified, chocolate, made with milk W/ WHOLE MILK"
201916,Custard W/ 2% MILK
201917,"Asparagus, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
201921,"Pudding, tapioca, made from dry mix, made with milk W/ 1% MILK"
201933,"Asparagus, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
201941,"Mushrooms, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
201950,"Ocean perch, baked or broiled W/ BUTTER, NFS"
202004,"Kidney bean salad W/ VINEGAR, SUGAR, AND WATER DRESSING"
202008,Kidney bean salad W/O SALAD DRESSING
202009,"Flavored pasta W/ BUTTER, NFS"
202025,"Pudding, bread W/ 1% MILK"
202026,"Peas and carrots, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
202027,"Pudding, bread W/ 2% MILK"
202060,"Potato salad W/ CREAMY DRESSING, MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL (INCLUDE RANCH DRESSING, NFS....)"
202069,"Pompano, baked or broiled W/ BUTTER, NFS"
202102,Egg salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
202103,"Beans, string, cooked, from frozen, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202106,"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ 1% MILK"
202107,"Beans, string, green, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202114,"Spinach, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202128,"Greens, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202132,"Peas and onions, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202136,"Rice-vegetable medley W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202153,Tuna salad W/O SALAD DRESSING
202157,"Squid, baked, broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202203,"Red beans and rice W/ BUTTER, NFS"
202228,"Custard, Puerto Rican style (Flan) W/ 2% MILK"
202240,"Broccoli salad with cauliflower, cheese, bacon bits, and dressing W/ SWEET AND SOUR DRESSING"
202242,"Carrots, raw, salad W/O DRESSING"
202244,"Cabbage salad or coleslaw, with dressing W/ CREAMY DRESSING MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL (INCLUDE RANCH DRESSING)"
202246,"Pudding, rice W/ 1% MILK"
202254,"Peas and carrots, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
202263,Apple salad with dressing W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
202265,"Black, brown, or Bayo beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"
202268,Cucumber salad with creamy dressing W/ REDUCED CALORIE CREAMY DRESSING MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL
202280,"Milk, malted, fortified, chocolate, made with milk W/ 2% MILK"
202284,"Milk, malted, fortified, NS as to flavor, made with milk W/ 2% MILK"
202293,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ CREAMY DRESSING, MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL"
202295,Cappuccino W/ SKIM MILK
202298,Potato salad with egg W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
202311,"Clam chowder, New England, prepared with milk W/ HALF AND HALF CREAM"
202314,"Oatmeal, cooked, instant, fat not added in cooking W/ MILK"
202322,"Dip, sour cream base W/ LIGHT SOUR CREAM (INCLUDE LAND O LAKES LIGHT SOUR CREAM; LUCERNE LIGHT SOUR CREAM...)"
202334,"Ocean perch, baked or broiled W/O FAT"
202337,Custard W/ HEAVY CREAM
202339,"Snowpea (pea pod), cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
202352,"Wheat, cream of, cooked, quick, fat not added in cooking W/ MILK"
202358,"Squash, summer, and onions, cooked, fat added in cooking W/ BUTTER, NFS"
202359,"Scallops, baked or broiled W/O FAT"
202363,"Catfish, baked or broiled W/ BUTTER, NFS"
202364,"Turnip greens, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202388,"Okra, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
202394,"White potato, scalloped W/O FAT"
202409,"Squash, summer, yellow or green, breaded or battered, fried W/ MARGARINE, NFS"
202429,"Tuna, fresh, baked or broiled W/O FAT"
202454,"Whiting, baked or broiled W/ BUTTER, NFS"
202464,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ REAL MAYONNAISE"
202485,"Milk, malted, fortified, NS as to flavor, made with milk W/ SKIM MILK"
202491,Macaroni salad with tuna W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
202515,"Pudding, rice W/ HALF AND HALF CREAM"
202531,"Corn, cooked, from fresh, NS as to color, fat added in cooking W/ BUTTER, NFS"
202532,Custard W/ SKIM MILK
202533,"Milk, malted, unfortified, NS as to flavor, made with milk W/ WHOLE MILK"
202538,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ LOW CALORIE ITALIAN DRESSING (INCLUDE WISHBONE LITE DIJON VINAIGRETTE...)"
202585,Apple salad with dressing W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING...)
202600,"Beans, string, cooked, from canned, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202619,Macaroni salad with egg W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
202622,"Egg substitute, NS as to powdered, frozen, or liquid W/O FAT OR W/ NONSTICK SPRAY (INCLUDE PAM...)"
202637,"Lima beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"
202644,"Beans, string, cooked, from fresh, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202648,"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from canned, fat added in cooking W/ BUTTER, NFS"
202663,"Milk, malted, fortified, chocolate, made with milk W/ 1% MILK"
202670,"Cod, baked or broiled W/ BUTTER, NFS"
202672,"White beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"
202676,"Pudding, rice W/ SKIM MILK"
202694,Tuna salad with egg W/ LOW CALORIE OR DIET MAYONNAISE
202700,"Bean soup, mixed beans W/ CHICKEN"
202708,"Flounder, breaded or battered, baked W/O FAT"
202740,"Trout, battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202743,"Corn, scalloped or pudding W/ BUTTER, NFS"
202751,"Haddock, breaded or battered, baked W/O FAT"
202756,"Macaroni salad W/ REDUCED CALORIE, FAT FREE ITALIAN DRESSING"
202767,"Mushrooms, stuffed W/ CRAB MEAT"
202769,"Custard, Puerto Rican style (Flan) W/ WHOLE MILK"
202778,"Turnip greens, cooked, from canned, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202780,"Cabbage salad or coleslaw, with dressing W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING"
202781,"Carrots, cooked, from fresh, glazed  W/ BUTTER, NFS"
202783,"Broccoli, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202807,"Spinach, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
202812,"Celery, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202835,"Peas and onions, cooked, fat added in cooking W/ BUTTER, NFS"
202836,"Trout, baked or broiled W/O FAT"
202859,Macaroni salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
202861,Broccoli soup MADE W/ WATER
202863,"Shrimp, baked or broiled W/O FAT"
202865,Pea salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT MIRACLE WHIP FREE NONFAT DRESSING)
202867,Flavored rice and pasta mixture W/O FAT
202875,"Flavored rice, brown and wild W/0 FAT"
202879,"Catfish, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202900,"Apple, fried W/O SUGAR"
202911,"Flavored rice mixture W/ BUTTER, NFS"
202913,"Turnip greens, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
202938,"Onion, young green, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
202972,"Herring, baked or broiled W/O FAT"
202974,"Porgy, baked or broiled W/O FAT"
202978,"Milk shake, homemade or fountain-type, flavors other than chocolate W/ SKIM MILK"
202997,Rice with beans W/O FAT
202999,"Pudding, tapioca, made from home recipe, made with milk W/ WHOLE MILK"
203000,"Cactus, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203003,"Perch, breaded or battered, baked W/O FAT"
203008,"Scrambled egg, made from cholesterol-free frozen mixture W/O FAT OR W/ NONSTICK SPRAY (INCLUDE PAM...)"
203010,Red beans and rice W/O FAT
203013,"Brussels sprouts, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
203014,"Carrots, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203023,Flavored rice mixture W/O FAT
203030,"Plantain, fried, NS as to green or ripe W/ MARGARINE, NFS"
203045,"Flavored rice mixture W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203049,Stewed potatoes with tomatoes W/O FAT
203070,"Chicken curry W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203073,"Pompano, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203088,Macaroni salad W/ LOW CALORIE OR DIET MAYONNAISE (INCLUDE LOWFAT MAYONNAISE)
203089,"Catfish, baked or broiled W/O FAT"
203108,"Coffee, latte W/ 2% MILK"
203117,"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203139,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE-WHIP)"
203146,"Carp, baked or broiled W/O FAT"
203161,"Sweetpotato, canned in syrup, with fat added in cooking W/ BUTTER, NFS"
203163,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ REDUCED CALORIE CREAMY DRESSING, MADE WITH SOUR CREAM AND/OR BUTTERMILK AND OIL"
203166,"Pasta salad (macaroni or noodles, vegetables, dressing) W/ FAT-FREE MAYONNAISE-TYPE SALAD DRESSING (KRAFT FREE NONFAT MAYONNAISE DRESSING...)"
203173,"Carrots, raw, salad W/ COLESLAW DRESSING"
203185,"Kale, cooked, from fresh, fat added in cooking  W/ BUTTER, NFS"
203213,"Tuna, fresh, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203222,"Whiting, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203252,"Porgy, baked or broiled W/ BUTTER, NFS"
203256,"Potato salad W/ REDUCED-CALORIE OR DIET, CHOLESTEROL-FREE MAYONNAISE (INCLUDE KRAFT LIGHT...)"
203257,"Onion, young green, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"
203258,"Spinach, cooked, from frozen, fat added in cooking W/ VEGETABLE SHORTENING"
203262,Fish with tomato-based sauce (mixture) W/O FAT
203276,"Rice-vegetable medley W/ BUTTER, NFS"
203283,"Peas, green, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
203287,"Swordfish, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203294,"Rice with beans W/ BUTTER, NFS"
203319,"Okra, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
203326,"Sea bass, baked or broiled W/O FAT"
203332,"Perch, baked or broiled W/O FAT"
203334,"Scrambled egg, made from cholesterol-free frozen mixture with cheese W/0 FAT OR W/ NONSTICK SPRAY (INCLUDE PAM...)"
203344,"Instant breakfast, powder, sweetened with low calorie sweetener, milk added W/ 2% MILK"
203351,"Cabbage, green, cooked, fat added in cooking W/ VEGETABLE SHORTENING"
203369,"Beans, string, cooked, NS as to form, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
203374,"Carrots, cooked, from canned, glazed W/O FAT"
203379,"Rice pilaf W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
